,,ANATOMY,,,,,,,PHYSIOLOGY,,,,,,,,,,,,,,,,STATES,,,,,,,,,,,MIMOSA,,,,,,,,,,,,,,,
SUBJECT,,,,,,,,,EYES,,CORRUGATORS,,TRAPEZIUS,,HEART,,,RESPI,EGG,,,,MEG,,PHENO,RS,,,FA,,,OP,,,,CALIBRATION,PHENO,RHYTHM ENTRAINEMENT,,PREPROC,MMN_MAIN,,,,MMN_COLOR,,MMN_FREQUENCY,,,,
#,000,0 or 1,0 or 1 or -1,0 or 1 or -1,,0 or 1,0 or 1,,EOGH,EOGV,,,EEG060,17380395,EEG062,,ico4,EEG061,0 or 1,,,,,,,,0 or 1,,,0 or 1,,,0 or 1,,,,,,,,,,,,,,,,,,
group,id,nifti,recon,bem_ico4,coreg,src_surf_ico4,src_vol_6.2,,eogH_chan,eogV_chan,emgCorr_chan,emgCorr_baseline,emgTrap_chan,emgTrap_baseline,ecg_chan,ecg_erp,ecg_src,respi_chan,egg,egg_chans,egg_maxchan,egg_phase,bad,,pheno_states,rs,rs_preproc,rs_src,fa,fa_preproc,fa_src,op,op_preproc,op_src,,calib,pheno_mimosa,behav,psd_delta,preproc,mmn_main_erp,mmn_main_src,mmn_main_learnmod,mmn_main_dcm,mmn_col_erp,mmn_col_src,mmn_freq_erp,mmn_freq_src,,,
N,002,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,004,1,1,1,0,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,
N,005,1,1,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,007,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,010,1,1,1,0,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,
N,011,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,
N,012,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,014,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,016,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT41|MLT43|MLT44|MLT51|MLT53|MLT54|MLT55,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,017,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,018,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,019,0,NA,NA,NA,NA,NA,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,021,0,NA,NA,NA,NA,NA,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,022,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,023,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,024,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,025,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,026,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,028,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,029,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,030,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,NA,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT22|MLT31|MLT32|MLT33|MLT41|MLT42|MLT43|MLT51|MLT52|MLT53|MLT54|MRF11|MRF12|MRF13|MRF14|MRF24|MRF25|MRT11|MRT21|MRT22|MRT23|MRT31|MRT32|MRT33|MRT34|MRT41|MRT42|MRT43|MRT44|MRT51|MRT52|MRT53|MRT54|MRT55,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,032,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,034,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,035,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,036,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,037,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,038,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,039,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,040,1,1,1,0,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,NA,NA,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,
N,042,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,NA,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,050,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG004|EEG005|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,051,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,052,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MRT52|MRT53,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,053,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,054,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLF11|MLF12|MLF13|MLF14|MLF21|MLF22|MLF23|MLF24|MLF25|MLT11|MLT21|MLT22|MLT31|MLT32|MLT33|MLT41|MLT42|MLT43|MLT51|MLT52|MLT53|MRF11|MRF12|MRF13|MRF14|MRF21|MRF22|MRF23|MRF24|MRF25|MRT11|MRT21|MRT22|MRT31|MRT32|MRT33|MRT41|MRT42|MRT43|MRT51|MRT52|MRT53|MZF01,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,055,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,056,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT41|MLT42|MLT43|MLT44|MLT51|MLT52|MLT53|MLT54,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,057,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,0,NA,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
E,058,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
E,059,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG061,,NA,EEG062,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG009,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
E,060,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,062,1,0,0,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,063,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MRT41|MRT51|MRT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,064,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,065,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG059,1,EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
E,067,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,068,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,069,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,070,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,071,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLF11|MLF12|MLF13|MLF14|MLF21|MLF22|MLF23|MLF24|MLF25|MLT21|MLT31|MLT32|MLT41|MLT42|MLT51|MLT52|MRF11|MRF12|MRF13|MRF14|MRF21|MRF22|MRF23|MRF24|MRF25|MRT21|MRT31|MRT32|MRT41|MRT42|MRT51|MRT52|MZF01,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,072,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG059,1,EEG004|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,073,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
E,074,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,075,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,076,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
E,077,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,081,1,1,1,0,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,-1,,,-1,,,-1,,,,,,,,,,,,,,,,,,
N,083,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,086,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,087,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,088,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,089,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,090,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG004|EEG006|EEG007|EEG008,,,MLF14|MLT31|MLT32|MLT33|MLT34|MLT35|MLT41|MLT42|MLT43|MLT44|MLT45|MLT51|MLT52|MLT53|MLT54|MLT55|MLT56|MRF14|MRT21|MRT31|MRT32|MRT33|MRT41|MRT42|MRT43|MRT51|MRT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,091,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,092,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG009,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,093,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT31|MLT41|MLT42|MLT51|MLT52|MRT31|MRT32|MRT33|MRT34|MRT41|MRT42|MRT43|MRT44|MRT51|MRT52|MRT53|MRT54|MRT55|MRT56|MRT57,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,094,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,0,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MRT21|MRT22|MRT31|MRT32|MRT41|MRT42|MRT51|MRT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,095,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG008,,ico4|6.2,EEG061,1,EEG002|EEG003|EEG005|EEG006|EEG007|EEG008,,,MRT51|MRT52|MRT53,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,096,1,1,1,1,1,1,,EOGH,EOGV,,,EEG060,,EEG062,,ico4|6.2,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,MLT51|MLT52,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
N,097,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,098,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,099,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,101,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,0,NA,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,102,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,103,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,104,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,105,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,106,1,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,107,0,NA,NA,NA,NA,NA,,NA,NA,,,NA,,NA,,NA,NA,NA,NA,,,,,,,NA,,,NA,,,NA,,,,,,,,,,,,,,,,,,
N,108,1,0,0,0,0,0,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG061,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,
N,109,0,NA,NA,NA,NA,NA,,EOGH,EOGV,,,EEG060,,EEG062,,NA,EEG059,1,EEG001|EEG002|EEG003|EEG004|EEG005|EEG006|EEG007|EEG008,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,
